Floc,F_mapid,Sloc,S_mapid,direction,Length
DZMB1_017005,8,DZMB1_017010,8,2,5
DZMB1_017010,8,DZMB1_017015,8,2,5
DZMB1_017015,8,DZMB1_017020,8,2,5
DZMB1_017020,8,DZMB1_017025,8,2,5
DZMB1_017025,8,DZMB1_017030,8,2,5
DZMB1_017030,8,DZMB1_017035,8,2,5
DZMB1_017035,8,DZMB1_017040,8,2,5
DZMB1_017040,8,DZMB1_017045,8,2,5
DZMB1_017045,8,DZMB1_017050,8,2,5
DZMB1_017050,8,DZMB1_017055,8,2,5
DZMB1_017055,8,DZMB1_017060,8,2,5
DZMB1_017060,8,DZMB1_017065,8,2,5
DZMB1_028996,8,DZMB1_029000,8,2,4
DZMB1_029000,8,DZMB1_029005,8,2,5
DZMB1_029005,8,DZMB1_029010,8,2,5
DZMB1_029010,8,DZMB1_029015,8,2,5
DZMB1_029015,8,DZMB1_029020,8,2,5
DZMB1_029020,8,DZMB1_029025,8,2,5
DZMB1_029025,8,DZMB1_029030,8,2,5
DZMB1_029030,8,DZMB1_029035,8,2,5
DZMB1_029035,8,DZMB1_029040,8,2,5
DZMB1_029040,8,DZMB1_029045,8,2,5
DZMB1_029045,8,DZMB1_029050,8,2,5
DZMB1_029050,8,DZMB1_029055,8,2,5
DZMB1_034040,8,DZMB1_034045,8,2,5
DZMB1_034045,8,DZMB1_033050,8,2,4
DZMB1_033050,8,DZMB1_034055,8,2,4
DZMB1_038045,8,DZMB1_038050,8,2,5
DZMB1_038050,8,DZMB1_038055,8,2,4
DZMB1_044045,8,DZMB1_044050,8,2,5
DZMB1_044050,8,DZMB1_044055,8,2,5
DZMB1_052041,8,DZMB1_052045,8,2,3
DZMB1_052045,8,DZMB1_052050,8,2,5
DZMB1_052050,8,DZMB1_052055,8,2,5
DZMB1_038020,8,DZMB1_035025,8,2,5
DZMB1_035025,8,DZMB1_035029,8,2,4
DZMB1_035029,8,DZMB1_035035,8,2,5
DZMB1_038020,8,DZMB1_041025,8,2,6
DZMB1_041025,8,DZMB1_041030,8,2,4
DZMB1_041030,8,DZMB1_041035,8,2,5
DZMB1_047025,8,DZMB1_047030,8,2,4
DZMB1_047030,8,DZMB1_047035,8,2,5
DZMB1_054026,8,DZMB1_054030,8,2,3
DZMB1_054030,8,DZMB1_054035,8,2,5
DZMB1_029055,8,DZMB1_034055,8,2,4
DZMB1_034055,8,DZMB1_038055,8,2,4
DZMB1_038055,8,DZMB1_044055,8,2,5
DZMB1_044055,8,DZMB1_052055,8,2,7
DZMB1_029050,8,DZMB1_033050,8,2,3
DZMB1_033050,8,DZMB1_038050,8,2,5
DZMB1_038050,8,DZMB1_044050,8,2,5
DZMB1_044050,8,DZMB1_052050,8,2,7
DZMB1_029045,8,DZMB1_034045,8,2,4
DZMB1_034045,8,DZMB1_038045,8,2,4
DZMB1_038045,8,DZMB1_044045,8,2,6
DZMB1_044045,8,DZMB1_052045,8,2,7
DZMB1_029040,8,DZMB1_034040,8,2,4
DZMB1_029035,8,DZMB1_035035,8,2,5
DZMB1_035035,8,DZMB1_041035,8,2,5
DZMB1_041035,8,DZMB1_047035,8,2,6
DZMB1_047035,8,DZMB1_054035,8,2,6
DZMB1_054035,8,DZMB1_059035,8,2,5
DZMB1_029030,8,DZMB1_035029,8,2,6
DZMB1_035029,8,DZMB1_041030,8,2,5
DZMB1_041030,8,DZMB1_047030,8,2,6
DZMB1_047030,8,DZMB1_054030,8,2,6
DZMB1_035025,8,DZMB1_041025,8,2,5
DZMB1_041025,8,DZMB1_047025,8,2,6
DZMB1_047025,8,DZMB1_054026,8,2,6
DZMB1_029020,8,DZMB1_038020,8,2,8